,profile_id,lat,lon,prediction
362,5904911_138,11.797,142.032,3
363,5904914_153,-53.189,162.202,6
364,5904921_130,-58.636,154.251,1
365,5904926_153,-12.387,149.36,5
366,5904926_180,-11.751,156.036,5
367,5904929_109,-32.229,-156.505,0
368,5904933_179,15.84,148.794,5
369,5904935_134,19.971,147.279,5
370,5904939_51,19.352,-178.716,3
371,5904942_57,-3.424,-169.293,3
372,5904945_88,1.472,-160.572,3
373,5904985_79,-72.997,-160.504,1
374,5904986_68,-68.3811133058983,-107.02643141585611,1
375,5904999_119,-53.673,-148.477,4
376,5904999_124,-51.644,-143.128,6
377,5905002_106,-47.766,-172.727,6
378,5905005_130,-60.922,149.537,1
379,5905024_91,-49.433,165.867,6
380,5905033_116,-62.55,-104.87799999999999,1
381,5905035_100,-56.695,-103.38900000000001,4
382,5905038_112,-10.2287,-160.4391,5
383,5905042_117,-21.9441,154.4513,7
384,5905053_43,14.426,-174.606,3
385,5905057_118,24.919,-128.698,0
386,5905072_92,-53.922,159.784,4
387,5905099_57,-56.993,-152.978,1
388,5905108_60,-35.102,178.836,0
389,5905112_104,-30.094,-107.715,0
390,5905112_141,-31.265,-108.52,0
391,5905112_64,-29.836,-105.938,0
392,5905113_77,-32.678,-138.051,0
393,5905119_50,-28.782,-110.634,0
394,5905125_41,-32.57,-87.06,0
395,5905128_40,-28.526,168.098,7
396,5905138_73,45.751,-155.817,4
397,5905151_21,-23.682,-92.042,0
398,5905173_81,-39.621,165.832,0
399,5905187_62,-58.022,155.743,1
400,5905195_73,-33.8505,128.1632,0
401,5905202_42,-39.558,-176.7419,0
402,5905203_60,-31.7058,170.5474,7
403,5905207_60,-20.8187,154.1101,7
404,5905221_202,15.995,133.291,5
405,5905222_9,14.724,-161.698,3
406,5905225_12,5.349,159.62,3
407,5905235_20D,-28.00303,-158.18447,7
408,5905235_24D,-27.85078,-158.19953,7
409,5905241_54,-34.23178,-129.47841,0
410,5905246_52,-42.59086,-165.37722,6
411,5905247_33,-40.68678,-155.92161,6
412,5905248_64,-47.24255,-157.72954,6
413,5905249_49,-41.85054,-148.63921,6
414,5905254_69,-41.81257,-124.04319,6
415,5905261_50,-21.32077,-140.1392,5
416,5905270_47,24.31418,-140.43866,3
417,5905279_56,-50.48936,-169.93358,6
418,5905291_48,-1.955,-169.407,3
419,5905293_29,1.737,-161.609,3
420,5905294_46,0.502,178.387,3
421,5905296_61,4.112,173.177,3
422,5905301_80,23.222,-115.936,2
423,5905305_61,17.52,-166.099,3
424,5905313_24,1.734,-118.765,2
425,5905316_6,-1.288,-177.848,3
426,5905320_23,-42.531,-129.829,6
427,5905334_23,-43.832,-105.083,6
428,5905347_51,-22.9,-110.887,5
429,5905353_25,-44.95,-135.791,6
430,5905354_25,-25.777,-84.104,0
431,5905360_28,7.991,-133.483,2
432,5905373_62,-59.564,166.693,1
433,5905376_27,-58.113,173.55,4
434,5905388_49,-37.5069,131.56,0
435,5905394_47,-64.0216,-175.9935,1
436,5905640_27,-14.766,152.558,5
437,5905655_14,-15.376,-136.606,5
438,5905664_26,-16.507,-149.879,5
439,5905672_38,11.321,159.936,3
440,5905673_25,-2.576,-169.069,3
441,5905679_30,-62.7,-157.6,1
442,5905680_32,-63.2,-163.8,1
443,5905690_2,-23.93137,155.45155,7
444,5905694_3,-9.04082,-122.0341,3
445,5905700_16,-8.75814,-135.32598,5
446,5905705_26,-12.86506,-156.9225,5
447,5905714_12,-9.3794,-178.13371,5
448,5905716_23,-9.03465,177.98954,5
449,5905731_21,29.785,-130.206,0
450,5905731_27,29.811,-131.584,0
451,5905733_18,14.083,146.921,3
452,5905742_28,40.882,-149.202,6
453,5905757_133D,-36.64572,-173.47374,0
454,5905762_51D,-30.8044,-168.20544,0
455,5905763_21D,-26.37732,-166.36604,7
456,5905767_14D,-12.05793,-158.49164,5
457,5905767_5D,-12.04351,-157.98368,5
458,5905783_27,-58.64943,-168.36547,1
459,5905835_20,12.072,-162.445,3
460,5905840_15,-10.304,-130.56,3
461,5905841_18,-15.596,-121.627,5
462,5905974_17,4.345,-156.955,3
463,5905975_62,-2.41,-178.88,3
464,5905975_8,-3.505,-157.996,3
465,5905979_10,23.25,-157.836,3
466,5905990_124,51.958,-140.459,4
467,5906039_36,24.116,-157.541,5
468,5906039_80,22.374,-156.515,3
469,5906040_58,23.378,-156.34,3
470,6901502_158,-13.151,-81.72500000000002,0
471,6901575_346,-47.093891666666664,139.931345,6
472,6901668_129,-20.019,-165.322,5
473,6901680_118,-23.18,-158.619,7
474,6901746_405,-5.297728333333334,130.86358166666668,2
475,6901746_406,-5.356705,130.82226833333334,2
476,6901838_131,-58.15873,-128.05486666666667,1
477,6901838_151,-60.644101666666664,-123.19141166666667,1
478,6902701_212,-20.762761666666666,-148.34710333333334,5
479,6902917_14,1.8261483333333333,-103.35693666666667,2
480,6902923_16,-6.32909,-135.96570666666668,3
481,6903213_86,-58.058346666666665,-151.993955,1
482,6903214_78,-47.61517166666667,145.45446333333334,6
483,6903231_49,-63.215743333333336,-170.30252666666667,1
484,6903232_13,-58.99359333333334,169.118475,4
485,7900609_124,-57.356,160.967,1
486,7900621_80,-58.832,167.986,4
487,7900623_62,-64.847,144.797,1
488,7900627_31,-64.984,-163.936,1
489,7900669_107,-62.46306,-136.74565,1
490,7900670_94,-58.91776,-114.67994,1
491,7900672_127,-59.82506,-130.27825,1
492,7900672_87,-57.31107,-147.01231,1
493,7900674_91,-62.87571,-125.3542,1
494,7900676_122,-59.87837,-93.42472,1
495,7900680_19,-59.06044,-179.04984,1
496,7900683_33,-67.6,170.5,1
497,7900692_56,-64.46,-95.726,1
498,1900726_407,-24.828,-132.824,5
499,1901145_341,-45.943,144.415,0
500,1901734_101,-52.465,160.014,4
501,1902077_116,-46.932,152.266,6
502,1902077_98,-51.562,132.854,4
503,2901300_314,-64.95,-105.542,1
504,2901302_293,-53.978,157.567,4
505,2901306_285,-55.004,-157.496,4
506,2901548_193,4.105,148.375,3
507,2901548_202,4.196,147.143,3
508,2901780_77,34.46,155.924,0
509,2902524_159,22.6238,143.828,5
510,2902536_132,39.099,179.121,0
511,2902562_221,0.542,133.147,5
512,2902573_192,-29.357,-124.391,7
513,2902573_213,-27.339,-130.697,7
514,2902579_186,-28.071,-80.472,0
515,2902579_187,-27.852,-80.455,0
516,2902580_193,16.929,143.371,5
517,2902603_177,43.472,175.305,4
518,2902611_191,5.392,167.379,3
519,2902703_109,15.377,128.521,5
520,2902704_71,16.178,125.632,5
521,2902715_96,7.95,133.412,2
522,2902717_140,21.548,123.341,7
523,2902717_164,23.114,125.205,7
524,2902718_17,21.402,130.551,5
525,2902718_35,21.542,131.451,7
526,2902720_105,21.562,131.647,5
527,2902720_59,21.204,129.858,7
528,2902720_8,20.862,127.994,5
529,2902721_27,20.836,132.891,7
530,2902721_39,20.179,133.142,5
531,2902721_9,21.035,132.032,7
532,2902725_25,17.98,132.726,5
533,2902725_58,17.038,132.272,5
534,2902725_68,16.731,132.255,5
535,2902726_25,21.024,138.279,7
536,2902727_100,21.66,134.595,7
537,2902728_62,15.651,133.24,3
538,2902729_143,6.09,126.047,3
539,2902729_196,5.268,125.678,3
540,2902729_236,4.103,125.462,2
541,2902761_95,19.291,130.09,5
542,2902981_150,42.332,153.831,4
